ident,n_mig,femme,senegal,educ,q601d,q601f,survey
B0000001,1,1,0,superieur,2003,0,2009
B0000002,1,0,0,superieur,1986,0,2009
B0000003,1,0,0,superieur,1990,0,2009
B0000004,1,0,0,superieur,1997,1999,2009
B0000004,2,0,0,superieur,1999,1999,2009
B0000004,3,0,0,superieur,1999,0,2009
B0000004,4,0,0,superieur,2004,2004,2009
B0000005,1,1,0,superieur,1983,0,2009
B0000006,1,0,0,superieur,2001,0,2009
B0000007,1,0,0,superieur,2007,0,2009
B0000008,1,0,0,superieur,2000,2003,2009
B0000008,2,0,0,superieur,2003,2006,2009
B0000008,3,0,0,superieur,2006,0,2009
B0000009,1,0,0,superieur,2006,2007,2009
B0000009,2,0,0,superieur,2007,0,2009
B0000011,1,0,0,superieur,2001,0,2009
B0000012,1,0,0,superieur,2000,0,2009
B0000013,1,0,0,superieur,1991,1991,2009
B0000013,2,0,0,superieur,1992,1995,2009
B0000013,3,0,0,superieur,1998,0,2009
B0000014,1,0,0,superieur,1994,0,2009
B0000015,1,0,0,superieur,1994,0,2009
B0000016,1,0,0,superieur,1991,0,2009
B0000017,1,1,0,secondaire,1983,0,2009
B0000017,2,1,0,secondaire,1996,1996,2009
B0000018,1,1,0,secondaire,2001,0,2009
B0000019,1,1,0,secondaire,2004,0,2009
B0000020,1,1,0,superieur,2000,0,2009
B0000021,1,1,0,superieur,2004,2005,2009
B0000021,2,1,0,superieur,2005,2007,2009
B0000021,3,1,0,superieur,2007,0,2009
B0000022,1,0,0,superieur,1994,0,2009
B0000023,1,1,0,superieur,2006,0,2009
B0000024,1,0,0,superieur,1990,1993,2009
B0000024,2,0,0,superieur,1993,0,2009
B0000025,1,1,0,secondaire,2006,0,2009
B0000026,1,0,0,superieur,2004,0,2009
B0000027,1,0,0,secondaire,2005,0,2009
B0000030,1,0,0,superieur,1996,0,2009
B0000031,1,1,0,secondaire,1991,1993,2009
B0000031,2,1,0,secondaire,1994,1995,2009
B0000031,3,1,0,secondaire,1996,1998,2009
B0000031,4,1,0,secondaire,1998,2002,2009
B0000031,5,1,0,secondaire,2002,2006,2009
B0000031,6,1,0,secondaire,2006,2008,2009
B0000031,7,1,0,secondaire,2008,0,2009
B0000032,1,0,0,superieur,2003,0,2009
B0000032,2,0,0,superieur,2003,2003,2009
B0000033,1,1,0,secondaire,1990,1991,2009
B0000033,2,1,0,secondaire,1991,1999,2009
B0000033,3,1,0,secondaire,1999,2004,2009
B0000033,4,1,0,secondaire,2004,2009,2009
B0000033,5,1,0,secondaire,2009,0,2009
B0000034,1,0,0,superieur,2004,0,2009
B0000035,1,1,0,secondaire,1982,0,2009
B0000036,1,1,0,secondaire,1988,0,2009
B0000037,1,1,0,superieur,2005,0,2009
B0000038,1,0,0,superieur,2003,0,2009
B0000039,1,1,0,secondaire,1991,0,2009
B0000040,1,0,0,superieur,2003,0,2009
B0000041,1,1,0,secondaire,1960,1962,2009
B0000041,2,1,0,secondaire,1964,1965,2009
B0000041,3,1,0,secondaire,1965,1969,2009
B0000041,4,1,0,secondaire,1969,1970,2009
B0000041,5,1,0,secondaire,1992,0,2009
B0000042,1,0,0,superieur,2005,2007,2009
B0000042,2,0,0,superieur,2007,0,2009
B0000043,1,0,0,superieur,1997,2008,2009
B0000043,2,0,0,superieur,2008,0,2009
B0000044,1,0,0,superieur,1981,1992,2009
B0000044,2,0,0,superieur,1992,2005,2009
B0000044,3,0,0,superieur,2005,0,2009
B0000045,1,1,0,superieur,2001,0,2009
B0000046,1,1,0,secondaire,1999,0,2009
B0000047,1,0,0,superieur,1963,0,2009
B0000048,1,1,0,secondaire,1984,0,2009
B0000050,1,1,0,secondaire,1997,0,2009
B0000051,1,1,0,secondaire,2004,0,2009
B0000052,1,1,0,secondaire,1971,0,2009
B0000053,1,0,0,superieur,1991,0,2009
B0000054,1,0,0,superieur,1990,0,2009
B0000055,1,0,0,superieur,2008,0,2009
B0000056,1,0,0,superieur,1991,0,2009
B0000057,1,1,0,superieur,2001,0,2009
B0000058,1,1,0,superieur,1992,0,2009
B0000059,1,0,0,superieur,1977,1978,2009
B0000059,2,0,0,superieur,1990,0,2009
B0000060,1,0,0,secondaire,1988,1993,2009
B0000060,2,0,0,secondaire,1993,2005,2009
B0000060,3,0,0,secondaire,2005,0,2009
B0000061,1,0,0,superieur,1974,1984,2009
B0000061,2,0,0,superieur,1999,0,2009
B0000062,1,1,0,secondaire,1968,0,2009
B0000067,1,1,0,superieur,1992,1993,2009
B0000067,2,1,0,superieur,2001,2001,2009
B0000067,3,1,0,superieur,2001,2001,2009
B0000067,4,1,0,superieur,2001,0,2009
B0000067,5,1,0,superieur,2001,2001,2009
B0000068,1,1,0,superieur,1993,0,2009
B0000069,1,1,0,superieur,1999,1999,2009
B0000069,2,1,0,superieur,1999,1999,2009
B0000069,3,1,0,superieur,1999,1999,2009
B0000069,4,1,0,superieur,1999,1999,2009
B0000069,5,1,0,superieur,2001,0,2009
B0000070,1,1,0,superieur,1991,1992,2009
B0000070,2,1,0,superieur,1992,1993,2009
B0000070,3,1,0,superieur,1993,0,2009
B0000071,1,0,0,superieur,2000,2007,2009
B0000071,2,0,0,superieur,2007,0,2009
B0000072,1,0,0,superieur,1990,0,2009
B0000072,2,0,0,superieur,2008,2008,2009
B0000073,1,0,0,secondaire,1983,2005,2009
B0000073,2,0,0,secondaire,2005,0,2009
B0000074,1,1,0,superieur,1995,0,2009
B0000075,1,1,0,superieur,1987,0,2009
B0000076,1,0,0,superieur,1991,0,2009
B0000077,1,0,0,superieur,1990,0,2009
B0000078,1,1,0,secondaire,1990,0,2009
B0000078,2,1,0,secondaire,1994,1994,2009
B0000078,3,1,0,secondaire,2004,2004,2009
B0000079,1,1,0,secondaire,2000,2002,2009
B0000079,2,1,0,secondaire,2007,0,2009
B0000080,1,1,0,superieur,2000,0,2009
B0000081,1,0,0,secondaire,2002,0,2009
B0000082,1,0,0,secondaire,1989,1992,2009
B0000082,2,0,0,secondaire,1992,1995,2009
B0000082,3,0,0,secondaire,1995,0,2009
B0000083,1,0,0,superieur,1990,0,2009
B0000084,1,0,0,superieur,1989,0,2009
B0000085,1,1,0,superieur,1986,1987,2009
B0000085,2,1,0,superieur,1987,0,2009
B0000086,1,0,0,superieur,1996,1998,2009
B0000086,2,0,0,superieur,1999,2001,2009
B0000086,3,0,0,superieur,2002,2004,2009
B0000086,4,0,0,superieur,2004,0,2009
B0000087,1,0,0,superieur,2008,0,2009
B0000088,1,1,0,superieur,1973,1987,2009
B0000088,2,1,0,superieur,1993,0,2009
B0000089,1,0,0,superieur,1990,1990,2009
B0000089,2,0,0,superieur,1991,1993,2009
B0000089,3,0,0,superieur,1993,0,2009
B0000090,1,1,0,superieur,1985,0,2009
B0000091,1,0,0,superieur,1989,0,2009
B0000092,1,0,0,superieur,1986,1986,2009
B0000092,2,0,0,superieur,1986,2005,2009
B0000092,3,0,0,superieur,2005,0,2009
B0000093,1,1,0,superieur,2002,2005,2009
B0000093,2,1,0,superieur,2005,0,2009
B0000094,1,1,0,superieur,2000,2001,2009
B0000094,2,1,0,superieur,2001,0,2009
B0000095,1,1,0,secondaire,2000,0,2009
B0000096,1,0,0,secondaire,2003,0,2009
B0000097,1,0,0,superieur,1999,0,2009
B0000098,1,0,0,superieur,1988,0,2009
B0000099,1,0,0,superieur,2004,0,2009
B0000100,1,1,0,superieur,1996,0,2009
B0000101,1,0,0,superieur,1998,0,2009
B0000102,1,1,0,superieur,1991,0,2009
B0000103,1,0,0,superieur,2001,0,2009
B0000104,1,1,0,secondaire,2005,0,2010
