ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
2352,1,0,Autres,52,0,52
137,1,1,Autres,51,0,51
1892,1,1,Autres,56,0,56
192,1,1,Autres,55,0,55
391,1,0,Autres,51,0,51
1905,1,0,Autres,55,0,55
2717,1,0,Retour foyer - inactivite,56,0,56
2413,1,0,Retour foyer - inactivite,53,0,53
1304,1,1,Autres,50,0,50
1453,1,1,Retour foyer - inactivite,52,0,52
681,1,0,Autres,59,0,59
2066,1,0,Autres,56,0,56
2302,1,0,Autres,57,0,57
939,0,1,Autres,62,0,62
924,1,1,Autres,48,49,53
1926,1,1,Retour foyer - inactivite,21,22,52
1631,1,0,Retour foyer - inactivite,24,25,60
562,1,0,Retour foyer - inactivite,26,27,58
2517,1,1,Autres,29,30,57
2938,1,1,Autres,23,24,57
869,0,0,Autres,24,25,69
2839,1,0,Retour foyer - inactivite,22,23,56
411,0,1,Retour foyer - inactivite,31,32,61
1596,1,0,Retour foyer - inactivite,20,21,50
2542,1,0,Autres,27,28,53
891,0,0,Retour foyer - inactivite,21,22,61
2608,1,0,Autres,26,27,50
2737,1,1,Autres,22,23,60
2681,1,0,Autres,47,48,53
2209,1,1,Autres,33,34,59
2351,1,0,Autres,36,37,52
2921,1,0,Retour foyer - inactivite,21,22,60
183,1,1,Autres,29,30,49
1881,1,1,Retour foyer - inactivite,26,27,52
2130,0,1,Autres,51,52,65
2457,0,0,Autres,49,50,66
459,1,1,Retour foyer - inactivite,30,31,52
2923,1,1,Retour foyer - inactivite,32,33,52
146,1,0,Autres,27,28,58
1437,0,0,Retour foyer - inactivite,29,30,63
2426,1,1,Autres,32,33,52
256,0,0,Autres,23,24,63
575,1,1,Retour foyer - inactivite,27,28,50
1009,1,0,Retour foyer - inactivite,22,23,51
1545,1,0,Autres,21,22,50
727,1,1,Autres,55,0,56
349,1,1,Retour foyer - inactivite,25,26,51
754,0,0,Autres,43,44,67
1799,1,0,Autres,20,21,59
497,1,0,Retour foyer - inactivite,30,31,50
1945,1,0,Retour foyer - inactivite,24,25,50
357,1,1,Autres,23,24,55
129,0,0,Retour foyer - inactivite,29,30,62
394,1,1,Autres,55,0,56
2569,1,0,Autres,59,0,60
127,1,0,Autres,26,27,50
1781,1,0,Retour foyer - inactivite,28,29,53
1432,1,1,Retour foyer - inactivite,19,20,50
2273,0,0,Retour foyer - inactivite,21,22,69
2649,1,0,Autres,25,26,54
580,0,0,Retour foyer - inactivite,41,42,66
261,0,0,Retour foyer - inactivite,23,24,66
2748,0,0,Autres,25,26,63
2416,1,0,Retour foyer - inactivite,39,40,51
330,1,1,Autres,32,33,52
296,0,0,Autres,19,20,68
639,1,1,Retour foyer - inactivite,31,32,55
699,1,1,Retour foyer - inactivite,24,25,57
1719,0,0,Autres,18,19,63
458,1,1,Retour foyer - inactivite,23,24,52
2592,0,0,Retour foyer - inactivite,46,47,68
1372,1,1,Retour foyer - inactivite,34,35,57
376,1,0,Retour foyer - inactivite,19,20,55
1298,1,1,Autres,44,45,57
1996,0,0,Retour foyer - inactivite,27,28,69
2939,1,1,Autres,24,25,56
1780,1,0,Retour foyer - inactivite,19,20,52
1226,1,0,Retour foyer - inactivite,26,27,60
1709,1,0,Autres,31,32,53
835,1,1,Retour foyer - inactivite,34,35,59
2548,1,1,Autres,25,26,51
1610,0,0,Retour foyer - inactivite,19,20,62
362,0,1,Autres,23,24,61
2149,1,0,Retour foyer - inactivite,22,23,57
2658,1,0,Autres,50,0,51
867,1,0,Retour foyer - inactivite,23,24,59
1746,1,1,Retour foyer - inactivite,26,27,53
2397,0,0,Retour foyer - inactivite,24,25,61
1054,1,1,Autres,21,22,51
1124,1,0,Retour foyer - inactivite,57,0,58
1447,0,0,Retour foyer - inactivite,22,23,61
1462,1,0,Retour foyer - inactivite,18,19,58
1013,1,0,Autres,53,0,54
1824,1,1,Retour foyer - inactivite,24,25,55
260,1,1,Autres,25,26,49
1455,1,1,Retour foyer - inactivite,32,33,51
536,0,0,Retour foyer - inactivite,16,17,69
722,1,0,Autres,22,23,58
868,1,1,Autres,23,24,52
1954,1,1,Autres,24,25,50
2143,1,0,Autres,33,34,53
1620,0,0,Retour foyer - inactivite,22,23,61
505,1,0,Retour foyer - inactivite,28,29,50
2228,1,1,Retour foyer - inactivite,25,26,55
